stkcd,date,lh_rtnDiff,lh_volDiff,lh_stdDiff
000008.XSHE,2024-07-05,0.0,0.5802500905434513,0.3340521395528192
000008.XSHE,2024-07-08,-0.0,0.7608305351881038,0.6820037196554378
000008.XSHE,2024-07-10,0.6650955353266118,0.5087202888796418,0.4020353609063848
000008.XSHE,2024-07-11,-0.9945706816810779,0.3180210598395198,0.4972853408405455
000008.XSHE,2024-07-12,0.0,0.2668696062278354,0.3333333333333362
000008.XSHE,2024-07-15,-0.0,0.2704487389452997,0.2551065580155558
000008.XSHE,2024-07-16,-0.0,0.7590945252043104,1.0
000008.XSHE,2024-07-17,-0.9837999999999999,0.30617543612476666,0.332032500000005
000008.XSHE,2024-07-18,-0.0,0.36196631998421397,0.33567750000000507
000008.XSHE,2024-07-22,1.0320625677139736,0.16786097939322034,0.4549036111135986
000008.XSHE,2024-07-23,-0.0,0.5066733355608534,0.26615714181976535
000008.XSHE,2024-07-24,0.0,0.2665421964640519,0.2886552115377859
000008.XSHE,2024-07-25,-1.9324034334764204,0.32749954991947877,0.3843255899293196
000008.XSHE,2024-07-26,-0.495171673819749,0.41160689345086315,0.32400121867217696
000008.XSHE,2024-07-29,1.9351441787225994,0.35212131760254983,0.32452728463049335
000008.XSHE,2024-07-30,0.0,0.29894019552450907,0.2453213893602163
000008.XSHE,2024-08-01,0.0,0.02359844537648122,0.0
000008.XSHE,2024-08-02,-2.070158263990836,0.11696003861421397,0.18883200380997728
000008.XSHE,2024-08-05,0.5139273356401316,0.1792373508860128,0.22935600102948273
000008.XSHE,2024-08-06,0.5047829937998162,0.4150360166814103,0.33791258262632545
000008.XSHE,2024-08-08,-0.24764015349029794,0.3307832143949797,0.3354914740667688
000008.XSHE,2024-08-09,-0.651191374427276,0.26697451028387326,0.2790820176116904
000008.XSHE,2024-08-12,-1.0048992923244422,0.48892932626558316,0.502449646162221
000008.XSHE,2024-08-14,-2.0769230769230895,0.7071139788603885,1.0125000000000064
000008.XSHE,2024-08-19,-0.0,0.12024857128907925,0.17030675350824878
000008.XSHE,2024-08-20,-0.0,0.26516131360603695,0.4127836592757502
000008.XSHE,2024-08-21,-0.0,0.7889486176288895,1.0098955470038615
000009.XSHE,2022-12-01,-0.6768684177134775,0.44181141305741944,0.2887116473659382
000009.XSHE,2022-12-02,-0.8148949320148448,0.9334718839225705,0.7022774647022269
000009.XSHE,2022-12-05,-0.20951738930596783,0.6852283918470891,0.31409132435638826
000009.XSHE,2022-12-06,-0.29744434056188845,0.4106155423171574,0.3709548904148191
000009.XSHE,2022-12-07,1.3531625528823408,0.9141511835485215,0.3360503028681028
000009.XSHE,2022-12-08,-0.15376213982074144,2.5984863865015453,0.6273698963150008
000009.XSHE,2022-12-09,0.3690678051976981,0.48614833691718634,0.29676504803908527
000009.XSHE,2022-12-12,0.0668324596161968,0.30844543434413374,0.19719416532733558
000009.XSHE,2022-12-13,0.5058014445981611,1.0647202876091257,0.4766715184694412
000009.XSHE,2022-12-14,-1.1793046528422493,0.6540533697196472,0.4286776823345782
000009.XSHE,2022-12-15,0.0,0.9364197168998778,0.22755944857587768
000009.XSHE,2022-12-16,-0.8908902105488656,0.8623697764588409,0.46313189621915957
000009.XSHE,2022-12-19,-0.7060195605573427,1.185913422456162,1.0973732300133865
000009.XSHE,2022-12-20,0.7992687403502055,0.3680938245524576,0.372353057081964
000009.XSHE,2022-12-21,-0.3728507416993522,0.6949591243175924,0.5966732380312934
000009.XSHE,2022-12-22,-0.4208592922534427,0.9666006746415491,0.49233542239253025
000009.XSHE,2022-12-26,-0.29749045261820545,0.45387071973505233,0.2929914741441561
000009.XSHE,2022-12-27,0.08378801251704565,0.3395459282027839,0.1259422299945746
000009.XSHE,2022-12-28,0.14114480302251126,0.40998908786191807,0.1008392586917579
000009.XSHE,2022-12-29,0.66832256996193,0.6874344191889751,0.33139962146872026
000009.XSHE,2022-12-30,-1.0042086152830498,1.170210007778066,0.5892463775627723
000009.XSHE,2023-01-03,-0.1810806412238595,0.9801605107110135,0.3523419175328651
000009.XSHE,2023-01-04,-0.49999999999996453,0.8683063922892658,0.2836879432624161
000009.XSHE,2023-01-05,-0.48381877022651376,0.9913276680639059,0.3928033580057071
000009.XSHE,2023-01-06,0.0,0.4673843254775582,0.14128045429565692
000009.XSHE,2023-01-09,-0.11179048539354658,0.918530875734029,0.2527437061071569
000009.XSHE,2023-01-10,-0.0,0.30040578074562657,0.12965738496084828
000009.XSHE,2023-01-11,0.1987095888530591,1.6745986829926216,0.9130803978881159
000009.XSHE,2023-01-12,-0.191068208337759,0.43345390838734216,0.3620035963440761
000009.XSHE,2023-01-13,0.33416750083419916,0.8312844775252726,0.46479661479662193
000009.XSHE,2023-01-16,0.0,0.7186976617863771,0.1903137465844654
000009.XSHE,2023-01-17,3.0226030799802723,0.9740132398382386,0.5535903076886703
000009.XSHE,2023-01-18,0.0,0.5836463849302471,0.331409410729986
000009.XSHE,2023-01-19,0.4958569201738921,1.883842483332004,0.3305712801159593
000009.XSHE,2023-01-20,0.9926256077794374,1.563848401815387,0.19852512155591853
000009.XSHE,2023-01-30,-0.4075668283117074,0.25788166810145413,0.4675142858366078
000009.XSHE,2023-01-31,0.35087167367485284,0.9472882869742266,0.3784373494966597
000009.XSHE,2023-02-01,0.5687272072396415,0.9112289226625118,0.2823468404735827
000009.XSHE,2023-02-02,0.11182765292843326,0.6811365086324405,0.10655828708364534
000009.XSHE,2023-02-03,-0.2238208154601746,0.5955566425911482,0.2782302954615405
000009.XSHE,2023-02-06,0.7585420032310266,0.8268657560360914,0.37927100161550664
000009.XSHE,2023-02-07,0.5595671955995257,1.5962887022822112,0.40464569929717575
000009.XSHE,2023-02-08,0.121072075839954,0.9064112126078393,0.26312539209535996
000009.XSHE,2023-02-09,-1.9904486025208012,0.797553102840559,0.3062228619263039
000009.XSHE,2023-02-10,0.20516740747102566,0.8343802199012463,0.25280564848160897
000009.XSHE,2023-02-13,0.06940511057859718,0.4690933556019997,0.17980522773688898
000009.XSHE,2023-02-14,0.0837305533646484,0.40878392963472515,0.16792370647165972
000009.XSHE,2023-02-15,-0.14274728654918786,0.4328416070158117,0.14840064443232084
000009.XSHE,2023-02-16,0.3426145652059435,2.681623209229599,1.4201504496704005
000009.XSHE,2023-02-17,-0.1902685509306565,0.5577563904171537,0.3504552585690103
000009.XSHE,2023-02-20,0.1942325206749496,0.5075666698055142,0.11934769342678617
000009.XSHE,2023-02-21,0.20926139901567925,0.3833937410174566,0.23353491953368855
000009.XSHE,2023-02-22,0.27672373266472866,0.7875506413943201,0.23221571971866398
000009.XSHE,2023-02-23,2.009604786647629,0.9551869634802852,0.7536017949928966
000009.XSHE,2023-02-24,-1.0169056966588854,0.8083082229423693,0.6537250907093045
000009.XSHE,2023-02-27,-0.0,0.8852299411625023,0.17743995912110272
000009.XSHE,2023-02-28,0.2397813783106608,0.9565883282759411,0.21262966341372552
000009.XSHE,2023-03-01,-0.0,0.6605712193335774,0.24851213326966734
000009.XSHE,2023-03-02,1.5131184998423846,1.0270085005027754,0.8524611266718057
000009.XSHE,2023-03-03,-0.8212972630912763,1.4702972542394022,0.46638552456310445
000009.XSHE,2023-03-06,-0.37515183373576816,1.1491128851448882,0.5566442073538534
000009.XSHE,2023-03-07,-0.0,1.0729056513138362,0.5048948220064636
000009.XSHE,2023-03-08,1.0101991481524188,0.696924912264446,0.5342625846492091
000009.XSHE,2023-03-09,0.2483273596176894,0.5916495712338018,0.2718177855274605
000009.XSHE,2023-03-10,0.3746512312788191,0.6789386670744061,0.33495308756716236
000009.XSHE,2023-03-13,0.28428539363672156,0.7239602542451478,0.28630160210222394
000009.XSHE,2023-03-14,-1.2922979691581642,0.6761286814232571,0.7874636192155334
000009.XSHE,2023-03-15,-0.27854787287076094,0.3631328382075035,0.2192518782426782
000009.XSHE,2023-03-16,-0.09039819573334797,0.784185378362985,0.30452048920921965
000009.XSHE,2023-03-17,-2.5128030044383394,0.586817251952396,0.7244116769552179
000009.XSHE,2023-03-20,-0.1096103963913171,0.42616168222227147,0.30456629226290555
000009.XSHE,2023-03-21,-0.9923574368020223,0.7857542769989436,0.4362010711216984
000009.XSHE,2023-03-22,1.5063147259408585,0.4563428851506293,0.3618774116374528
000009.XSHE,2023-03-23,0.19657710490098373,0.8606630442137345,0.38265008969271447
000009.XSHE,2023-03-24,0.0,0.5776507887516369,0.4142749557185813
000009.XSHE,2023-03-27,0.11206029196804043,0.6011884846928093,0.17693730310741726
