stkcd,day,lh_rtnDiff,lh_volDiff,lh_stdDiff
000002.XSHE,2024-04-26,0.009153028894324827,0.7435619238663165,0.34741513422038584
000002.XSHE,2024-04-29,-0.07976104050590843,0.019966171594921697,0.00011877103677539998
000002.XSHE,2024-04-30,0.01158711668718211,0.13418514260576136,0.1648649672295069
000002.XSHE,2024-05-06,-0.00783800001070326,0.13981981319222125,0.0958960728452483
000002.XSHE,2024-05-07,-0.014796855580054604,0.33746994943214786,0.18838684439624867
000002.XSHE,2024-05-08,0.016159789287015773,0.33303272870950984,0.21795266909804908
000002.XSHE,2024-05-09,-0.0027644643645820437,0.36899031100331947,0.22852556031515497
000002.XSHE,2024-05-10,0.006726862554143493,0.37779073043795336,0.1868500391045666
000002.XSHE,2024-05-13,0.0027046924012546266,0.19886904028207036,0.18840004388273274
000002.XSHE,2024-05-14,-0.004046095159050775,0.24196012242571888,0.18626531343232042
000002.XSHE,2024-05-15,-0.028971444936824242,0.8336041346649735,0.7238605099834361
000002.XSHE,2024-05-16,-0.04805666210375749,0.29011139988514434,0.10941587468297134
000002.XSHE,2024-05-17,0.01871620322668534,0.3506248539308474,0.3211163803860742
000002.XSHE,2024-05-20,-0.0011996483239858835,0.13551762124353162,0.3483668652059095
000002.XSHE,2024-05-21,-0.02675824266540936,0.21941796035646619,0.15541894548447688
000002.XSHE,2024-05-22,0.002225161388117719,0.4740844245293475,0.8167022904233465
000002.XSHE,2024-05-23,0.018098691470912847,0.4258273606112842,1.2418765261684215
000002.XSHE,2024-05-24,0.0031285299620914383,0.522611321381536,0.42623108568266044
000002.XSHE,2024-05-27,0.006800985572242921,0.3049517788309319,0.4705677464298182
000002.XSHE,2024-05-28,0.030079902278861273,0.3966057790158609,0.20424211427039063
000002.XSHE,2024-05-29,-0.011709927977258927,0.152271505112982,0.17521792278161144
000002.XSHE,2024-05-30,0.014107751841700806,0.32012181232631404,0.25627842708313275
000002.XSHE,2024-05-31,0.01434443192273578,0.3733833677942072,0.21000110675875786
000002.XSHE,2024-06-03,0.011147653194298581,0.3109425529400389,0.2779730785558616
000002.XSHE,2024-06-04,-0.01860334701632129,0.38645603037002557,0.12477109885897888
000002.XSHE,2024-06-05,0.007152880982442242,0.35664415539913474,0.19385705334650705
000002.XSHE,2024-06-06,0.014691493858506181,0.34836385432340805,0.2794942297444546
000002.XSHE,2024-06-07,-0.013628980305077034,0.33481091067937524,0.2794046760728846
000002.XSHE,2024-06-11,0.006174205007244051,0.46362964640907817,0.2736952711310961
000002.XSHE,2024-06-12,-0.003790654205607429,0.431321045961715,0.23664632141589861
000002.XSHE,2024-06-13,0.028970676654267422,0.34836622355683616,0.1650677856821427
000002.XSHE,2024-06-14,-0.01819748364110784,0.36113635815229195,0.3045577702949968
000002.XSHE,2024-06-17,0.007700850269408769,0.3820033128714801,0.1138039390976293
000002.XSHE,2024-06-18,0.003947062624913965,0.5408761753459073,0.2540699789697954
000002.XSHE,2024-06-19,0.005307079748596168,0.3263199364534355,0.26866247271933075
000002.XSHE,2024-06-20,0.021403350695071093,0.41897793157705704,0.2294957641079985
000002.XSHE,2024-06-21,-0.006920726962988481,0.515961330878151,0.33535173560842235
000002.XSHE,2024-06-24,0.011140219714750746,0.3949127059617686,0.3171804609393879
000002.XSHE,2024-06-25,-0.027128538600358614,0.3201301805611738,0.23333972581522658
000002.XSHE,2024-06-26,0.002838952443346841,0.4844235237150746,0.32700481533590137
000002.XSHE,2024-06-27,-0.008496468891013607,0.44266119377458524,0.3961076087854515
000002.XSHE,2024-06-28,-0.011512781863518035,0.61856776012569,0.2732675369309671
000002.XSHE,2024-07-01,-0.02906544907308912,0.3683241554127879,0.12344531276710571
000002.XSHE,2024-07-02,-0.00826192409862915,0.32692042099557794,0.2540242424108114
000002.XSHE,2024-07-03,-0.008405168097358943,0.48620791377359407,0.2337990652671595
000002.XSHE,2024-07-04,0.009795958398873287,0.3696273539852025,0.39391587666653044
000002.XSHE,2024-07-05,-0.0014272885277248739,0.5896429709379349,0.25236008516966274
000002.XSHE,2024-07-08,0.020465583364354802,0.3358863384015771,0.25618230564165445
000002.XSHE,2024-07-09,0.0,0.9584995603613031,0.8261403084063901
000002.XSHE,2024-07-10,-0.03425625884430578,0.20483034194994992,0.1250486581146893
000002.XSHE,2024-07-11,2.8294012040924136e-05,0.35496913074359393,0.3287746904525764
000002.XSHE,2024-07-12,-0.034895992884367184,0.13980230385602777,0.09921394082749652
000002.XSHE,2024-07-15,0.002921853388658266,0.20056480163798815,0.21467123109583208
000002.XSHE,2024-07-16,-0.002904988524100877,0.25060873231042075,0.08993220590469572
000002.XSHE,2024-07-17,-0.037531632264383,0.2878882887181147,0.21909486739749434
000002.XSHE,2024-07-18,0.005622089155023279,0.35052025400222464,0.3558736190278603
000002.XSHE,2024-07-19,0.015537402603950902,0.3651778985363532,0.376500843737821
000002.XSHE,2024-07-22,0.02258267691197856,0.22149032255966916,0.15237104457268108
000002.XSHE,2024-07-23,-0.01728310483512896,0.7634510638531284,0.6984855957471641
000002.XSHE,2024-07-24,0.01020213742520235,0.6837661175337781,0.24146454304389425
000002.XSHE,2024-07-25,-0.015026452511574815,0.2308856294580196,0.14830205414428896
000002.XSHE,2024-07-26,-0.019409505302286974,0.20071628538518457,0.1714929579697218
000002.XSHE,2024-07-29,0.021896611341632028,0.3525423573629251,0.15367835803994098
000002.XSHE,2024-07-30,-0.0015159357548507224,0.3151603498542274,0.1795909411862503
000002.XSHE,2024-07-31,-0.0019165626552532112,1.0988387437318554,0.547650776002545
000002.XSHE,2024-08-01,0.012689700936013943,0.4046765893461429,0.20450976375624683
000002.XSHE,2024-08-02,-0.010247784848537337,0.920605550883095,0.6656804733727893
000002.XSHE,2024-08-05,-0.020644467028830986,0.23442199748951992,0.1156341248915297
000002.XSHE,2024-08-06,0.010213579937073324,0.6945949878150802,0.4440880620008579
000002.XSHE,2024-08-07,0.007306663434651096,0.32007203745947893,0.16805914608945044
000002.XSHE,2024-08-08,0.010251793976168908,0.5008038145104695,0.19748029915400034
